iter	Passed	Remaining
0	108	32530
1	200	29946
2	292	28959
3	383	28403
4	475	28074
5	568	27839
6	661	27678
7	753	27502
8	851	27517
9	950	27567
10	1047	27527
11	1141	27387
12	1231	27195
13	1322	27020
14	1415	26885
15	1506	26736
16	1598	26606
17	1690	26479
18	1782	26360
19	1873	26235
20	1965	26112
21	2057	25993
22	2150	25898
23	2241	25775
24	2333	25664
25	2425	25562
26	2517	25451
27	2609	25349
28	2702	25251
29	2800	25205
30	2894	25121
31	2987	25018
32	3080	24925
33	3174	24834
34	3265	24728
35	3357	24620
36	3449	24515
37	3541	24415
38	3633	24318
39	3725	24216
40	3820	24131
41	3912	24032
42	4010	23970
43	4104	23880
44	4196	23779
45	4288	23678
46	4381	23585
47	4473	23485
48	4567	23394
49	4664	23320
50	4756	23221
51	4849	23128
52	4942	23033
53	5035	22938
54	5129	22848
55	5220	22746
56	5311	22642
57	5403	22543
58	5493	22440
59	5586	22344
60	5677	22246
61	5770	22151
62	5862	22053
63	5954	21955
64	6047	21862
65	6142	21777
66	6232	21675
67	6323	21575
68	6415	21476
69	6505	21376
70	6598	21283
71	6690	21187
72	6782	21089
73	6874	20994
74	6967	20902
75	7059	20805
76	7151	20712
77	7242	20614
78	7333	20516
79	7425	20420
80	7516	20323
81	7609	20229
82	7702	20138
83	7794	20042
84	7886	19948
85	7978	19852
86	8071	19760
87	8165	19671
88	8258	19579
89	8350	19484
90	8442	19389
91	8533	19293
92	8627	19203
93	8719	19109
94	8813	19018
95	8911	18936
96	9004	18845
97	9097	18752
98	9195	18669
99	9288	18576
100	9381	18484
101	9475	18394
102	9569	18303
103	9661	18207
104	9753	18112
105	9845	18018
106	9936	17923
107	10028	17827
108	10120	17733
109	10212	17640
110	10304	17545
111	10396	17450
112	10490	17359
113	10583	17268
114	10676	17175
115	10769	17082
116	10862	16989
117	10954	16896
118	11045	16800
119	11139	16708
120	11230	16613
121	11322	16519
122	11415	16426
123	11506	16332
124	11598	16237
125	11689	16142
126	11780	16047
127	11872	15953
128	11963	15859
129	12055	15765
130	12147	15671
131	12238	15576
132	12329	15481
133	12421	15387
134	12512	15292
135	12603	15198
136	12699	15109
137	12790	15014
138	12881	14920
139	12973	14827
140	13065	14733
141	13160	14642
142	13251	14549
143	13344	14456
144	13436	14363
145	13528	14269
146	13620	14176
147	13711	14081
148	13802	13987
149	13893	13893
150	13985	13800
151	14078	13707
152	14171	13615
153	14263	13522
154	14354	13428
155	14446	13335
156	14539	13242
157	14632	13150
158	14724	13057
159	14816	12964
160	14908	12871
161	14999	12777
162	15092	12685
163	15186	12593
164	15279	12501
165	15370	12407
166	15464	12315
167	15556	12222
168	15648	12129
169	15739	12036
170	15830	11942
171	15922	11849
172	16014	11756
173	16107	11664
174	16200	11571
175	16290	11477
176	16382	11384
177	16473	11290
178	16565	11197
179	16667	11111
180	16758	11018
181	16850	10924
182	16942	10831
183	17033	10738
184	17126	10646
185	17219	10553
186	17310	10460
187	17401	10366
188	17492	10273
189	17585	10181
190	17676	10087
191	17767	9994
192	17858	9901
193	17950	9808
194	18044	9716
195	18136	9623
196	18228	9530
197	18322	9438
198	18414	9346
199	18506	9253
200	18599	9160
201	18690	9067
202	18782	8974
203	18874	8881
204	18966	8789
205	19063	8698
206	19154	8605
207	19247	8513
208	19339	8420
209	19430	8327
210	19521	8234
211	19614	8141
212	19704	8048
213	19797	7955
214	19889	7863
215	19980	7770
216	20073	7677
217	20164	7584
218	20257	7492
219	20348	7399
220	20439	7306
221	20531	7213
222	20625	7121
223	20717	7029
224	20808	6936
225	20901	6843
226	20993	6751
227	21087	6659
228	21179	6566
229	21273	6474
230	21365	6381
231	21457	6289
232	21548	6196
233	21641	6103
234	21732	6011
235	21825	5918
236	21916	5825
237	22009	5733
238	22102	5641
239	22194	5548
240	22287	5456
241	22378	5363
242	22469	5270
243	22561	5178
244	22656	5086
245	22747	4993
246	22839	4900
247	22931	4808
248	23023	4715
249	23116	4623
250	23207	4530
251	23299	4437
252	23391	4345
253	23483	4252
254	23575	4160
255	23667	4067
256	23758	3975
257	23851	3882
258	23942	3790
259	24034	3697
260	24126	3605
261	24216	3512
262	24309	3419
263	24402	3327
264	24494	3235
265	24587	3142
266	24680	3050
267	24772	2957
268	24871	2866
269	24962	2773
270	25054	2681
271	25146	2588
272	25238	2496
273	25330	2403
274	25422	2311
275	25513	2218
276	25606	2126
277	25698	2033
278	25789	1941
279	25880	1848
280	25972	1756
281	26064	1663
282	26158	1571
283	26249	1478
284	26342	1386
285	26433	1293
286	26525	1201
287	26617	1109
288	26710	1016
289	26802	924
290	26894	831
291	26985	739
292	27078	646
293	27169	554
294	27261	462
295	27354	369
296	27445	277
297	27537	184
298	27629	92
299	27721	0
