iter	Accuracy	MultiClass
0	0.3151260504	2.052041471
1	0.3613445378	2.014719525
2	0.4243697479	1.980416058
3	0.4327731092	1.957648145
4	0.5420168067	1.909372485
5	0.5672268908	1.883532689
6	0.5966386555	1.838576788
7	0.5966386555	1.811931035
8	0.6092436975	1.789056092
9	0.6092436975	1.762450308
10	0.6218487395	1.730408846
11	0.6344537815	1.713123242
12	0.6344537815	1.692362024
13	0.6806722689	1.66368699
14	0.6806722689	1.649874511
15	0.6764705882	1.612562042
16	0.6890756303	1.594040831
17	0.7058823529	1.572217962
18	0.7058823529	1.554494369
19	0.7268907563	1.540029698
20	0.7352941176	1.528933788
21	0.7352941176	1.521336917
22	0.7394957983	1.506767402
23	0.7478991597	1.490406997
24	0.7605042017	1.476617866
25	0.7773109244	1.466594066
26	0.7647058824	1.453834847
27	0.7773109244	1.43558989
28	0.7773109244	1.425250951
29	0.7731092437	1.416797171
30	0.7899159664	1.395433624
31	0.7899159664	1.377656114
32	0.7941176471	1.367017681
33	0.7899159664	1.349735672
34	0.7899159664	1.339434714
35	0.7899159664	1.321579844
36	0.7899159664	1.314578864
37	0.7857142857	1.306879626
38	0.7773109244	1.295322169
39	0.7773109244	1.289900985
40	0.8025210084	1.281729846
41	0.7899159664	1.267176842
42	0.8025210084	1.256164872
43	0.7983193277	1.245183204
44	0.8193277311	1.236231363
45	0.8277310924	1.226668216
46	0.8235294118	1.217975511
47	0.8277310924	1.209848431
48	0.8235294118	1.200515847
49	0.8235294118	1.195398131
50	0.8361344538	1.179471961
51	0.8319327731	1.165823613
52	0.8403361345	1.155129654
53	0.8487394958	1.145198483
54	0.8445378151	1.138948895
55	0.8571428571	1.120800949
56	0.8571428571	1.109003491
57	0.8571428571	1.097910951
58	0.8571428571	1.085173979
59	0.8487394958	1.075105798
60	0.8487394958	1.064996854
61	0.8529411765	1.050994976
62	0.8529411765	1.04260446
63	0.8529411765	1.031237797
64	0.8655462185	1.016595664
65	0.8697478992	1.007721103
66	0.8655462185	0.9953226789
67	0.8781512605	0.9894559163
68	0.8823529412	0.9798434136
69	0.8865546218	0.9693572077
70	0.8949579832	0.9560454352
71	0.8907563025	0.9505611169
72	0.8949579832	0.9381902251
73	0.8991596639	0.9314501291
74	0.8949579832	0.9165785132
75	0.9033613445	0.9053853407
76	0.8991596639	0.8996559725
77	0.9159663866	0.8919404969
78	0.9159663866	0.8834998334
79	0.9201680672	0.871190769
80	0.9201680672	0.8566938883
81	0.9243697479	0.8473496624
82	0.9243697479	0.8379926807
83	0.9285714286	0.8321557189
84	0.9285714286	0.8237322805
85	0.9285714286	0.8164835203
86	0.9327731092	0.8042501475
87	0.9327731092	0.7913686622
88	0.9327731092	0.7855636842
89	0.9327731092	0.7738350391
90	0.9369747899	0.7614056716
91	0.9327731092	0.7530867795
92	0.9327731092	0.746671156
93	0.9327731092	0.7368736664
94	0.9327731092	0.7268921589
95	0.9327731092	0.7204328964
96	0.9327731092	0.7139710489
97	0.9369747899	0.7058003817
98	0.9369747899	0.7003013216
99	0.9411764706	0.6947570792
100	0.9411764706	0.6873385063
101	0.9453781513	0.6770492988
102	0.9453781513	0.6744297088
103	0.9453781513	0.6663261587
104	0.9453781513	0.6618019461
105	0.9495798319	0.6567760272
106	0.9537815126	0.6525423336
107	0.9537815126	0.6476076902
108	0.9495798319	0.6376537478
109	0.9495798319	0.630601493
110	0.9495798319	0.6240764901
111	0.9537815126	0.6186488168
112	0.9621848739	0.6131322281
