iter	Passed	Remaining
0	108	32454
1	199	29760
2	295	29294
3	392	29074
4	492	29053
5	581	28480
6	672	28144
7	761	27787
8	851	27524
9	941	27296
10	1029	27056
11	1118	26833
12	1207	26647
13	1297	26497
14	1386	26338
15	1476	26204
16	1564	26052
17	1652	25891
18	1743	25784
19	1831	25640
20	1921	25531
21	2011	25414
22	2099	25289
23	2187	25157
24	2276	25036
25	2365	24925
26	2454	24814
27	2542	24697
28	2630	24581
29	2719	24478
30	2807	24364
31	2898	24276
32	2988	24176
33	3075	24063
34	3163	23950
35	3251	23845
36	3340	23747
37	3430	23649
38	3520	23559
39	3609	23462
40	3698	23360
41	3785	23256
42	3876	23170
43	3965	23074
44	4054	22977
45	4143	22880
46	4235	22799
47	4324	22702
48	4413	22610
49	4502	22514
50	4592	22421
51	4681	22327
52	4770	22231
53	4859	22138
54	4949	22046
55	5037	21948
56	5127	21857
57	5215	21761
58	5303	21664
59	5394	21578
60	5483	21483
61	5572	21390
62	5662	21300
63	5751	21207
64	5840	21117
65	5930	21027
66	6019	20932
67	6108	20840
68	6197	20746
69	6285	20653
70	6375	20563
71	6464	20469
72	6552	20374
73	6642	20285
74	6730	20191
75	6818	20096
76	6909	20009
77	6997	19915
78	7085	19822
79	7173	19728
80	7262	19635
81	7352	19545
82	7440	19453
83	7529	19360
84	7617	19268
85	7706	19176
86	7795	19084
87	7893	19015
88	7986	18934
89	8075	18843
90	8165	18753
91	8256	18666
92	8345	18574
93	8434	18483
94	8522	18391
95	8612	18301
96	8700	18208
97	8789	18116
98	8879	18027
99	8968	17937
100	9059	17850
101	9148	17759
102	9238	17668
103	9327	17578
104	9421	17496
105	9510	17405
106	9599	17314
107	9688	17223
108	9776	17131
109	9866	17041
110	9956	16952
111	10044	16859
112	10131	16766
113	10219	16674
114	10308	16583
115	10399	16496
116	10489	16407
117	10578	16316
118	10667	16225
119	10755	16133
120	10844	16043
121	10933	15952
122	11023	15863
123	11112	15772
124	11200	15680
125	11288	15588
126	11377	15498
127	11465	15407
128	11554	15315
129	11643	15225
130	11732	15135
131	11820	15044
132	11910	14955
133	11998	14864
134	12087	14773
135	12175	14682
136	12264	14591
137	12354	14502
138	12443	14412
139	12532	14322
140	12621	14232
141	12710	14142
142	12799	14052
143	12888	13963
144	12978	13873
145	13069	13785
146	13157	13694
147	13247	13605
148	13337	13516
149	13426	13426
150	13517	13338
151	13606	13248
152	13696	13158
153	13785	13068
154	13876	12980
155	13965	12890
156	14054	12800
157	14143	12711
158	14232	12621
159	14321	12530
160	14411	12442
161	14500	12352
162	14588	12261
163	14677	12171
164	14767	12082
165	14856	11992
166	14945	11902
167	15034	11812
168	15123	11722
169	15212	11633
170	15301	11543
171	15390	11453
172	15478	11363
173	15568	11273
174	15657	11183
175	15745	11093
176	15835	11004
177	15924	10914
178	16013	10824
179	16101	10734
180	16190	10644
181	16279	10554
182	16368	10465
183	16457	10375
184	16549	10287
185	16637	10197
186	16726	10107
187	16816	10018
188	16905	9928
189	16995	9839
190	17084	9749
191	17173	9659
192	17261	9569
193	17351	9480
194	17441	9391
195	17530	9301
196	17619	9212
197	17708	9122
198	17797	9032
199	17887	8943
200	17975	8853
201	18067	8765
202	18157	8676
203	18245	8586
204	18335	8497
205	18425	8407
206	18515	8318
207	18603	8228
208	18693	8139
209	18782	8049
210	18873	7960
211	18961	7870
212	19051	7781
213	19140	7692
214	19229	7602
215	19317	7512
216	19407	7423
217	19496	7333
218	19585	7243
219	19673	7154
220	19762	7064
221	19853	6975
222	19943	6886
223	20031	6796
224	20121	6707
225	20210	6617
226	20299	6527
227	20388	6438
228	20478	6349
229	20568	6260
230	20657	6170
231	20745	6080
232	20835	5991
233	20923	5901
234	21011	5811
235	21102	5722
236	21190	5633
237	21279	5543
238	21369	5454
239	21458	5364
240	21547	5275
241	21638	5185
242	21727	5096
243	21816	5007
244	21905	4917
245	21994	4828
246	22084	4738
247	22173	4649
248	22263	4559
249	22353	4470
250	22441	4381
251	22530	4291
252	22624	4202
253	22714	4113
254	22804	4024
255	22892	3934
256	22981	3845
257	23071	3755
258	23160	3666
259	23249	3576
260	23340	3487
261	23428	3398
262	23516	3308
263	23606	3219
264	23695	3129
265	23785	3040
266	23876	2951
267	23965	2861
268	24054	2772
269	24144	2682
270	24233	2593
271	24324	2503
272	24417	2414
273	24508	2325
274	24597	2236
275	24687	2146
276	24776	2057
277	24866	1967
278	24954	1878
279	25042	1788
280	25131	1699
281	25220	1609
282	25310	1520
283	25401	1431
284	25489	1341
285	25578	1252
286	25668	1162
287	25757	1073
288	25847	983
289	25937	894
290	26027	804
291	26116	715
292	26206	626
293	26294	536
294	26384	447
295	26473	357
296	26562	268
297	26651	178
298	26744	89
299	26835	0
