iter	Accuracy	MultiClass
0	0.3236514523	2.041863568
1	0.4564315353	1.98241266
2	0.4398340249	1.92488507
3	0.4730290456	1.902679178
4	0.468879668	1.87836633
5	0.5186721992	1.853769156
6	0.5435684647	1.806655858
7	0.5477178423	1.77621506
8	0.5933609959	1.752975539
9	0.5601659751	1.728621299
10	0.5850622407	1.704554365
11	0.6058091286	1.687653611
12	0.601659751	1.673599852
13	0.6099585062	1.655118544
14	0.622406639	1.630493896
15	0.643153527	1.613401418
16	0.6556016598	1.599105121
17	0.7012448133	1.580335198
18	0.7302904564	1.565298208
19	0.7427385892	1.548163158
20	0.7468879668	1.530940534
21	0.7468879668	1.516704744
22	0.7593360996	1.50247418
23	0.7717842324	1.488000285
24	0.77593361	1.477366061
25	0.77593361	1.463541943
26	0.77593361	1.454382807
27	0.7883817427	1.445876226
28	0.7842323651	1.424829711
29	0.7717842324	1.414833834
30	0.7883817427	1.403262811
31	0.7925311203	1.383847672
32	0.8008298755	1.369546957
33	0.7966804979	1.360549217
34	0.8049792531	1.350434147
35	0.8132780083	1.341711669
36	0.8132780083	1.331038451
37	0.8174273859	1.32440683
38	0.8215767635	1.310186048
39	0.8298755187	1.299708729
40	0.8298755187	1.294743107
41	0.8298755187	1.285131927
42	0.8381742739	1.270186613
43	0.8423236515	1.252142841
44	0.8506224066	1.242264267
45	0.8506224066	1.233003543
46	0.8506224066	1.217685201
47	0.846473029	1.212625764
48	0.8506224066	1.202228637
49	0.8506224066	1.198507601
50	0.8547717842	1.185471992
51	0.8589211618	1.179802101
52	0.8630705394	1.157680477
53	0.8630705394	1.14792617
54	0.8630705394	1.144193013
55	0.8630705394	1.131668728
56	0.8713692946	1.121855794
57	0.8713692946	1.112112907
58	0.8713692946	1.105647464
59	0.8713692946	1.095238364
60	0.8755186722	1.077527546
61	0.8796680498	1.066296654
62	0.8796680498	1.054169861
63	0.8796680498	1.043190782
64	0.8838174274	1.035069436
65	0.8838174274	1.028362833
66	0.8921161826	1.020210175
67	0.887966805	1.011298396
68	0.8921161826	1.005075553
69	0.8962655602	0.9951380854
70	0.8962655602	0.984175105
71	0.8962655602	0.9777793171
72	0.8962655602	0.9678270741
73	0.9004149378	0.9560568279
74	0.9128630705	0.9472925903
75	0.9128630705	0.9345180868
76	0.9128630705	0.9254339738
77	0.9170124481	0.9189527205
78	0.9170124481	0.9133595784
79	0.9253112033	0.9072357393
80	0.9211618257	0.8940304459
81	0.9253112033	0.8798406338
82	0.9253112033	0.8736387736
83	0.9253112033	0.868286823
84	0.9377593361	0.8574437816
85	0.9336099585	0.8507033105
86	0.9377593361	0.8400148889
87	0.9377593361	0.8308096533
88	0.9419087137	0.8255150891
89	0.9419087137	0.82222868
90	0.9460580913	0.8159606657
91	0.9460580913	0.8091200468
92	0.9502074689	0.7959772174
93	0.9502074689	0.7908140842
94	0.9502074689	0.776088342
95	0.9502074689	0.7698106905
96	0.9543568465	0.7615244447
97	0.9543568465	0.7557768463
98	0.9585062241	0.748670007
99	0.9585062241	0.7409170021
100	0.9626556017	0.7315892932
101	0.9585062241	0.7245575926
102	0.9626556017	0.7188516601
103	0.9626556017	0.7117623703
104	0.9626556017	0.7064641658
105	0.9668049793	0.7005217686
106	0.9709543568	0.6923891772
107	0.9709543568	0.6884197149
108	0.9751037344	0.6797699004
109	0.9668049793	0.671622618
110	0.9709543568	0.6648102729
111	0.979253112	0.6566201316
112	0.9834024896	0.6500273448
113	0.9834024896	0.6400130971
114	0.9834024896	0.6346957066
115	0.9834024896	0.6293608376
116	0.9834024896	0.6261508928
117	0.9875518672	0.6229151979
118	0.9875518672	0.6155079483
119	0.9875518672	0.6080384268
120	0.9875518672	0.6000205875
121	0.9875518672	0.5937853436
122	0.9875518672	0.586239451
123	0.9875518672	0.579609532
124	0.9875518672	0.5759226132
125	0.9875518672	0.5687680494
126	0.9875518672	0.5618515175
127	0.9875518672	0.5570779389
128	0.9875518672	0.5541187447
129	0.9875518672	0.5494894471
130	0.9875518672	0.5446942809
131	0.9875518672	0.5413038096
132	0.9875518672	0.5381837513
133	0.9875518672	0.5348511099
134	0.9875518672	0.5330104
135	0.9875518672	0.5302014961
136	0.9875518672	0.5254964397
137	0.9875518672	0.5236753593
138	0.9875518672	0.5170172401
139	0.9875518672	0.5134124637
140	0.9875518672	0.5101882001
141	0.9875518672	0.5077102369
142	0.9875518672	0.5032834118
143	0.9875518672	0.5013772945
144	0.9875518672	0.4972449408
145	0.9875518672	0.4931485707
146	0.9875518672	0.4915968843
147	0.9875518672	0.4884987741
148	0.9875518672	0.4860241158
149	0.9875518672	0.4815280873
150	0.9917012448	0.4789921559
151	0.9917012448	0.4761648928
152	0.9917012448	0.473454999
153	0.9917012448	0.4687682089
154	0.9917012448	0.4642597536
155	0.9917012448	0.4600403259
156	0.9917012448	0.4571358931
157	0.9917012448	0.4529266307
158	0.9917012448	0.4503740258
159	0.9917012448	0.44584652
160	0.9917012448	0.4433567106
161	0.9917012448	0.4420372853
162	0.9917012448	0.4389658023
163	0.9917012448	0.4368821435
164	0.9917012448	0.4318581857
165	0.9917012448	0.4305588607
166	0.9917012448	0.4277678402
167	0.9958506224	0.4247177024
168	0.9958506224	0.4233004384
169	0.9958506224	0.4216589857
170	0.9958506224	0.4194691326
171	0.9958506224	0.4166336106
172	0.9958506224	0.413533272
173	0.9958506224	0.4102796471
174	0.9958506224	0.4089893255
175	0.9958506224	0.4072011815
176	0.9958506224	0.4044354506
177	0.9958506224	0.4031275266
178	0.9958506224	0.4020004116
179	0.9958506224	0.4001951934
180	0.9958506224	0.3963358081
181	0.9958506224	0.3928060547
182	0.9958506224	0.391297374
183	0.9958506224	0.3884211763
184	0.9958506224	0.3869234936
185	0.9958506224	0.3850163712
186	0.9958506224	0.3839677256
187	0.9958506224	0.3827187842
188	0.9958506224	0.3814056139
189	0.9958506224	0.3796817893
190	0.9958506224	0.3770519642
191	0.9958506224	0.3719928737
192	0.9958506224	0.3692484926
193	0.9958506224	0.3673775596
194	0.9958506224	0.3662077927
195	0.9958506224	0.3642590811
196	0.9958506224	0.3626186724
197	0.9958506224	0.3606249325
198	0.9958506224	0.3597276584
199	0.9958506224	0.3586518193
200	0.9958506224	0.3571267373
201	0.9958506224	0.3546239326
202	0.9958506224	0.3521789804
203	0.9958506224	0.348836557
204	0.9958506224	0.3475589077
205	0.9958506224	0.3459470876
206	0.9958506224	0.3422124631
207	0.9958506224	0.3399034408
208	0.9958506224	0.3371889754
209	1	0.3350834432
210	0.9958506224	0.3331171292
211	1	0.3313139854
212	1	0.3298152975
213	1	0.3269305105
214	1	0.3240285892
215	1	0.3218565966
216	1	0.3201206042
217	1	0.3188755379
218	1	0.3174705291
219	1	0.3157269779
220	1	0.3144907125
221	1	0.3130891464
222	1	0.3116744819
223	1	0.3107436477
224	1	0.30948898
225	1	0.3079233122
226	1	0.3060948645
227	1	0.3044142973
228	1	0.3033152124
229	1	0.3014262102
230	1	0.3000822716
231	1	0.2983093109
232	1	0.2957600118
233	1	0.2943890944
234	1	0.2935446077
235	1	0.2924253322
236	1	0.2909792673
237	1	0.2890450094
238	1	0.2878849682
239	1	0.2871310932
240	1	0.2855104949
241	1	0.2835720322
242	1	0.2826435271
243	1	0.2815563867
244	1	0.2800147125
245	1	0.2781009956
246	1	0.2771684433
247	1	0.2755943919
248	1	0.2738937357
249	1	0.2718745043
250	1	0.2712249756
251	1	0.2704393793
252	1	0.2698219877
253	1	0.2680769097
254	1	0.2663436912
255	1	0.2658210871
256	1	0.263954813
257	1	0.2631199563
258	1	0.2622271395
259	1	0.2607258018
260	1	0.2594325615
261	1	0.258378171
262	1	0.2572311178
263	1	0.2559819684
264	1	0.2546849546
265	1	0.2531850023
266	1	0.2524202766
267	1	0.2514116583
268	1	0.2508310424
269	1	0.2498603211
270	1	0.248283091
271	1	0.2465855855
272	1	0.245855724
273	1	0.2449944065
274	1	0.2442574637
