iter	Accuracy	MultiClass
0	0.358974359	2.036893529
1	0.4273504274	1.981781171
2	0.5256410256	1.943550489
3	0.5256410256	1.909428902
4	0.5128205128	1.87284849
5	0.5128205128	1.836037371
6	0.594017094	1.787362829
7	0.641025641	1.752425917
8	0.6581196581	1.724596916
9	0.6538461538	1.690401203
10	0.6837606838	1.674599742
11	0.6923076923	1.652546991
12	0.6837606838	1.623268859
13	0.7008547009	1.603834112
14	0.6923076923	1.583001136
15	0.7008547009	1.56487204
16	0.7051282051	1.548507
17	0.7136752137	1.532913692
18	0.7179487179	1.518297908
19	0.7222222222	1.500478801
20	0.7435897436	1.476784486
21	0.7564102564	1.460882668
22	0.7521367521	1.439142394
23	0.7606837607	1.428410655
24	0.7820512821	1.409189168
25	0.7905982906	1.393255298
26	0.7905982906	1.372770418
27	0.7948717949	1.363297064
28	0.7991452991	1.352201431
29	0.8034188034	1.343857997
30	0.811965812	1.330584137
31	0.7948717949	1.309415806
32	0.8034188034	1.298760525
33	0.8034188034	1.289411229
34	0.811965812	1.278042749
35	0.811965812	1.269259923
36	0.8205128205	1.258902431
37	0.8247863248	1.245442787
38	0.8290598291	1.228289729
39	0.8333333333	1.220153076
40	0.8376068376	1.213478459
41	0.8247863248	1.201659903
42	0.8333333333	1.193764774
43	0.8461538462	1.185364788
44	0.8376068376	1.172604873
45	0.8461538462	1.161471461
46	0.8504273504	1.14957004
47	0.8504273504	1.135839763
48	0.858974359	1.130364562
49	0.858974359	1.120993264
50	0.858974359	1.105872652
51	0.8547008547	1.09793361
52	0.8547008547	1.084507368
53	0.8504273504	1.064447548
54	0.8504273504	1.059059121
55	0.8504273504	1.04505493
56	0.8504273504	1.037450892
57	0.8504273504	1.029821506
58	0.8504273504	1.023366608
59	0.8547008547	1.016068881
60	0.8547008547	1.00514018
61	0.8547008547	0.9952622767
62	0.858974359	0.9879313857
63	0.8632478632	0.978570539
64	0.8675213675	0.9630195883
65	0.8717948718	0.959185255
66	0.8717948718	0.9456534402
67	0.8974358974	0.9286028106
68	0.8931623932	0.9201184998
69	0.8931623932	0.9132247346
70	0.905982906	0.8995976689
71	0.9017094017	0.8859176678
72	0.9017094017	0.8794381408
73	0.905982906	0.8724526821
74	0.9145299145	0.8616053484
75	0.9145299145	0.8540842348
76	0.9188034188	0.8423624929
77	0.9230769231	0.8307636835
78	0.9273504274	0.8241905036
79	0.9230769231	0.8123488725
80	0.9273504274	0.8056006824
81	0.9273504274	0.7968245231
82	0.9273504274	0.7872694907
