iter	Passed	Remaining
0	114	34100
1	201	30095
2	291	28820
3	378	27994
4	467	27587
5	556	27249
6	644	26980
7	733	26764
8	827	26755
9	922	26745
10	1019	26786
11	1109	26626
12	1197	26427
13	1285	26266
14	1373	26092
15	1463	25974
16	1552	25846
17	1642	25729
18	1732	25622
19	1821	25496
20	1909	25363
21	1997	25237
22	2088	25150
23	2176	25032
24	2265	24923
25	2353	24804
26	2442	24696
27	2530	24580
28	2618	24471
29	2707	24366
30	2795	24261
31	2884	24154
32	2972	24048
33	3060	23947
34	3150	23854
35	3240	23760
36	3330	23675
37	3418	23568
38	3506	23466
39	3595	23370
40	3684	23274
41	3772	23176
42	3861	23080
43	3950	22982
44	4037	22879
45	4127	22790
46	4219	22713
47	4307	22612
48	4398	22530
49	4487	22438
50	4575	22340
51	4666	22253
52	4755	22161
53	4843	22066
54	4931	21969
55	5020	21876
56	5109	21784
57	5198	21691
58	5289	21605
59	5378	21512
60	5465	21415
61	5554	21321
62	5641	21224
63	5733	21143
64	5822	21049
65	5909	20951
66	5996	20854
67	6086	20766
68	6175	20674
69	6264	20583
70	6353	20491
71	6441	20398
72	6529	20304
73	6618	20214
74	6707	20123
75	6796	20031
76	6885	19940
77	6972	19846
78	7060	19752
79	7149	19662
80	7239	19572
81	7327	19480
82	7415	19388
83	7503	19294
84	7590	19200
85	7679	19110
86	7767	19018
87	7857	18929
88	7944	18835
89	8033	18745
90	8121	18652
91	8211	18565
92	8299	18473
93	8388	18383
94	8477	18293
95	8565	18201
96	8655	18113
97	8744	18023
98	8832	17931
99	8920	17841
100	9009	17752
101	9099	17663
102	9188	17574
103	9277	17485
104	9366	17394
105	9454	17303
106	9544	17215
107	9632	17123
108	9720	17033
109	9808	16942
110	9897	16852
111	9985	16760
112	10073	16669
113	10161	16579
114	10251	16491
115	10340	16401
116	10427	16309
117	10516	16220
118	10605	16130
119	10693	16040
120	10782	15951
121	10870	15860
122	10958	15769
123	11046	15679
124	11135	15589
125	11226	15502
126	11314	15412
127	11401	15320
128	11489	15229
129	11576	15138
130	11664	15048
131	11753	14959
132	11841	14868
133	11929	14778
134	12019	14690
135	12107	14600
136	12197	14511
137	12285	14422
138	12379	14339
139	12468	14249
140	12556	14159
141	12644	14069
142	12733	13980
143	12821	13889
144	12908	13798
145	12996	13708
146	13084	13618
147	13171	13527
148	13262	13440
149	13349	13349
150	13438	13260
151	13526	13170
152	13614	13080
153	13704	12992
154	13792	12902
155	13880	12812
156	13968	12723
157	14057	12634
158	14146	12544
159	14235	12456
160	14325	12367
161	14413	12277
162	14501	12188
163	14590	12099
164	14678	12009
165	14769	11922
166	14858	11833
167	14945	11743
168	15033	11653
169	15121	11563
170	15211	11475
171	15301	11387
172	15389	11297
173	15478	11208
174	15566	11119
175	15655	11029
176	15744	10941
177	15832	10851
178	15921	10762
179	16010	10673
180	16098	10583
181	16187	10494
182	16277	10407
183	16367	10318
184	16455	10228
185	16543	10139
186	16631	10049
187	16721	9961
188	16809	9872
189	16898	9783
190	16987	9694
191	17075	9605
192	17164	9515
193	17254	9427
194	17343	9338
195	17431	9249
196	17519	9159
197	17607	9070
198	17695	8981
199	17783	8891
200	17870	8801
201	17959	8713
202	18048	8624
203	18136	8534
204	18230	8448
205	18319	8359
206	18408	8270
207	18498	8181
208	18585	8092
209	18674	8003
210	18763	7914
211	18851	7825
212	18939	7735
213	19028	7646
214	19117	7558
215	19205	7468
216	19296	7380
217	19383	7291
218	19471	7201
219	19559	7112
220	19647	7023
221	19736	6934
222	19824	6845
223	19913	6756
224	20000	6666
225	20089	6578
226	20178	6489
227	20266	6399
228	20354	6310
229	20442	6221
230	20530	6132
231	20619	6043
232	20707	5954
233	20795	5865
234	20883	5776
235	20972	5687
236	21060	5598
237	21149	5509
238	21239	5420
239	21329	5332
240	21417	5243
241	21507	5154
242	21594	5065
243	21683	4976
244	21771	4887
245	21859	4798
246	21948	4709
247	22036	4620
248	22125	4531
249	22216	4443
250	22305	4354
251	22394	4265
252	22482	4176
253	22571	4087
254	22659	3998
255	22749	3910
256	22837	3821
257	22925	3732
258	23015	3643
259	23105	3554
260	23194	3465
261	23284	3377
262	23374	3288
263	23462	3199
264	23550	3110
265	23638	3021
266	23727	2932
267	23817	2843
268	23904	2754
269	23992	2665
270	24081	2576
271	24169	2488
272	24257	2399
273	24346	2310
274	24434	2221
275	24522	2132
276	24610	2043
277	24699	1954
278	24788	1865
279	24876	1776
280	24965	1688
281	25053	1599
282	25141	1510
283	25230	1421
284	25317	1332
285	25406	1243
286	25494	1154
287	25582	1065
288	25671	977
289	25760	888
290	25848	799
291	25936	710
292	26025	621
293	26113	532
294	26202	444
295	26290	355
296	26382	266
297	26471	177
298	26560	88
299	26648	0
