iter	Passed	Remaining
0	111	33391
1	199	29671
2	286	28398
3	373	27639
4	460	27191
5	553	27141
6	642	26893
7	729	26629
8	821	26559
9	913	26485
10	1010	26550
11	1098	26353
12	1186	26186
13	1274	26040
14	1361	25870
15	1449	25723
16	1537	25588
17	1623	25441
18	1711	25305
19	1798	25175
20	1885	25046
21	1974	24947
22	2060	24816
23	2147	24700
24	2234	24579
25	2323	24482
26	2409	24365
27	2496	24252
28	2585	24157
29	2675	24077
30	2766	24004
31	2854	23907
32	2944	23825
33	3032	23723
34	3120	23622
35	3207	23521
36	3296	23434
37	3386	23345
38	3473	23243
39	3562	23153
40	3650	23060
41	3740	22980
42	3829	22889
43	3917	22795
44	4005	22699
45	4093	22601
46	4182	22516
47	4273	22436
48	4361	22341
49	4447	22237
50	4535	22142
51	4621	22042
52	4708	21945
53	4796	21850
54	4882	21750
55	4969	21653
56	5056	21556
57	5142	21458
58	5230	21363
59	5317	21271
60	5404	21173
61	5490	21077
62	5577	20982
63	5665	20889
64	5754	20803
65	5841	20709
66	5927	20613
67	6014	20519
68	6102	20430
69	6189	20337
70	6277	20247
71	6364	20154
72	6450	20058
73	6538	19969
74	6626	19880
75	6713	19787
76	6802	19699
77	6888	19605
78	6975	19512
79	7062	19423
80	7149	19331
81	7237	19240
82	7325	19152
83	7412	19061
84	7500	18970
85	7588	18882
86	7674	18790
87	7763	18702
88	7850	18612
89	7937	18521
90	8025	18431
91	8112	18340
92	8201	18254
93	8289	18167
94	8376	18075
95	8465	17990
96	8554	17902
97	8641	17812
98	8727	17720
99	8815	17630
100	8901	17538
101	8987	17446
102	9074	17355
103	9161	17265
104	9248	17175
105	9334	17084
106	9421	16993
107	9507	16901
108	9595	16813
109	9682	16723
110	9769	16634
111	9855	16543
112	9942	16453
113	10028	16362
114	10116	16274
115	10202	16184
116	10290	16095
117	10379	16009
118	10466	15919
119	10552	15828
120	10638	15737
121	10725	15648
122	10812	15560
123	10899	15470
124	10986	15380
125	11072	15290
126	11158	15200
127	11245	15110
128	11333	15023
129	11420	14935
130	11508	14847
131	11595	14758
132	11682	14669
133	11770	14581
134	11857	14493
135	11945	14404
136	12031	14314
137	12119	14227
138	12206	14138
139	12294	14050
140	12381	13962
141	12467	13872
142	12554	13783
143	12641	13694
144	12727	13605
145	12816	13518
146	12902	13429
147	12989	13340
148	13075	13251
149	13162	13162
150	13250	13075
151	13339	12988
152	13426	12899
153	13512	12810
154	13600	12722
155	13686	12633
156	13775	12546
157	13861	12458
158	13948	12369
159	14035	12281
160	14122	12192
161	14208	12103
162	14296	12015
163	14382	11926
164	14468	11838
165	14556	11750
166	14645	11663
167	14732	11575
168	14819	11487
169	14906	11399
170	14997	11313
171	15087	11227
172	15173	11139
173	15261	11051
174	15349	10963
175	15436	10875
176	15524	10787
177	15615	10702
178	15701	10614
179	15789	10526
180	15875	10437
181	15962	10349
182	16050	10261
183	16138	10174
184	16229	10088
185	16317	10000
186	16403	9912
187	16491	9824
188	16578	9736
189	16667	9649
190	16754	9561
191	16841	9473
192	16928	9385
193	17014	9296
194	17103	9209
195	17191	9121
196	17278	9033
197	17365	8945
198	17451	8857
199	17538	8769
200	17626	8681
201	17713	8593
202	17801	8506
203	17888	8417
204	17974	8329
205	18061	8241
206	18151	8155
207	18239	8067
208	18329	7980
209	18416	7892
210	18502	7804
211	18589	7716
212	18676	7628
213	18764	7540
214	18850	7452
215	18936	7364
216	19023	7276
217	19110	7188
218	19197	7100
219	19285	7012
220	19373	6925
221	19462	6838
222	19548	6750
223	19635	6662
224	19723	6574
225	19811	6486
226	19897	6398
227	19984	6310
228	20071	6222
229	20157	6134
230	20245	6047
231	20342	5962
232	20446	5879
233	20546	5795
234	20641	5709
235	20739	5624
236	20831	5537
237	20924	5450
238	21018	5364
239	21110	5277
240	21200	5190
241	21293	5103
242	21389	5017
243	21487	4931
244	21579	4844
245	21669	4756
246	21765	4670
247	21868	4585
248	21954	4496
249	22040	4408
250	22127	4319
251	22214	4231
252	22302	4143
253	22393	4055
254	22480	3967
255	22567	3878
256	22653	3790
257	22742	3702
258	22830	3614
259	22915	3525
260	23002	3437
261	23087	3348
262	23176	3260
263	23265	3172
264	23355	3084
265	23441	2996
266	23529	2908
267	23616	2819
268	23702	2731
269	23790	2643
270	23878	2555
271	23965	2467
272	24053	2378
273	24141	2290
274	24228	2202
275	24316	2114
276	24404	2026
277	24491	1938
278	24578	1850
279	24665	1761
280	24755	1673
281	24842	1585
282	24929	1497
283	25016	1409
284	25103	1321
285	25189	1233
286	25277	1144
287	25364	1056
288	25451	968
289	25538	880
290	25625	792
291	25714	704
292	25802	616
293	25888	528
294	25975	440
295	26065	352
296	26151	264
297	26239	176
298	26325	88
299	26412	0
