iter	Accuracy	MultiClass
0	0.4358974359	2.009618414
1	0.4316239316	1.980835059
2	0.452991453	1.948300305
3	0.5299145299	1.912837347
4	0.5128205128	1.867578715
5	0.5256410256	1.846797757
6	0.5341880342	1.81165975
7	0.5299145299	1.789678414
8	0.5427350427	1.762820207
9	0.5512820513	1.742305207
10	0.5683760684	1.712829838
11	0.594017094	1.689100261
12	0.6153846154	1.66327467
13	0.6153846154	1.650199039
14	0.6111111111	1.635254443
15	0.6239316239	1.623383786
16	0.6239316239	1.607322802
17	0.6282051282	1.596314264
18	0.6367521368	1.583569808
19	0.6367521368	1.572161953
20	0.6452991453	1.554029371
21	0.6623931624	1.532480672
22	0.6752136752	1.515927924
23	0.6794871795	1.503958361
24	0.6794871795	1.494769076
25	0.6965811966	1.485451559
26	0.6837606838	1.471911912
27	0.6965811966	1.455855546
28	0.6965811966	1.448247023
29	0.7094017094	1.431852116
30	0.7136752137	1.411336672
31	0.7222222222	1.407412558
32	0.735042735	1.391074471
33	0.7435897436	1.382139619
34	0.7435897436	1.373273333
35	0.7478632479	1.368865573
36	0.7521367521	1.354327971
37	0.7521367521	1.347156571
38	0.7735042735	1.32740655
39	0.7820512821	1.312511158
40	0.7820512821	1.30283375
41	0.8034188034	1.283443302
42	0.8076923077	1.271695789
43	0.7991452991	1.258864442
44	0.8034188034	1.24603367
45	0.811965812	1.23852671
46	0.8162393162	1.225249913
47	0.8205128205	1.219175921
48	0.8162393162	1.207971163
49	0.8162393162	1.201417668
50	0.8205128205	1.192214198
51	0.8418803419	1.174900979
52	0.8461538462	1.165908402
53	0.8418803419	1.161134742
54	0.8547008547	1.144840806
55	0.8547008547	1.132578605
56	0.8547008547	1.122571481
57	0.858974359	1.1122473
58	0.8547008547	1.106254553
59	0.8547008547	1.09543126
60	0.858974359	1.082500998
61	0.858974359	1.070258928
62	0.858974359	1.056790651
63	0.8632478632	1.0489784
64	0.8632478632	1.040603705
65	0.8632478632	1.03128279
66	0.8675213675	1.022098744
67	0.8675213675	1.010334299
68	0.8675213675	0.9981380678
69	0.8675213675	0.9915693639
70	0.8803418803	0.9833692152
71	0.8888888889	0.9736007611
72	0.8888888889	0.9666401002
73	0.8888888889	0.9573854622
74	0.8931623932	0.9467923671
75	0.8974358974	0.9408037555
76	0.8974358974	0.92626589
77	0.8931623932	0.9161696289
78	0.9017094017	0.9074960576
79	0.9017094017	0.9027201583
80	0.905982906	0.8967761885
81	0.9102564103	0.8916272734
82	0.905982906	0.8797704994
83	0.9102564103	0.8734769199
84	0.9102564103	0.8644230297
85	0.9102564103	0.8563593761
86	0.9145299145	0.847718159
87	0.9145299145	0.8365142993
88	0.9145299145	0.830535097
89	0.9145299145	0.818700858
90	0.9188034188	0.8129282891
91	0.9188034188	0.8053144337
92	0.9230769231	0.8003566172
93	0.9230769231	0.7904926286
94	0.9230769231	0.7842403463
95	0.9230769231	0.771744478
96	0.9230769231	0.7618797239
97	0.9230769231	0.7555625012
98	0.9230769231	0.7473131808
99	0.9230769231	0.7393760919
100	0.9230769231	0.7282841633
101	0.9230769231	0.721640855
102	0.9230769231	0.7168455898
103	0.9316239316	0.7089530114
104	0.9401709402	0.7031864336
105	0.9444444444	0.6989930939
106	0.9444444444	0.6915586203
107	0.9487179487	0.687187124
108	0.9401709402	0.6815256955
109	0.9444444444	0.6724094472
110	0.9487179487	0.6671668463
111	0.952991453	0.6634287405
112	0.952991453	0.6597687341
113	0.952991453	0.6534173157
114	0.9572649573	0.6496159546
115	0.9572649573	0.6469993804
116	0.9572649573	0.6409383496
117	0.9615384615	0.6345568815
118	0.9615384615	0.6272433956
119	0.9615384615	0.6235302984
120	0.9658119658	0.6178794117
121	0.9658119658	0.6128177268
122	0.9658119658	0.6088286405
123	0.9658119658	0.6015861695
124	0.9700854701	0.5955784049
125	0.9700854701	0.5863871414
126	0.9700854701	0.582211083
127	0.9700854701	0.5775508648
128	0.9658119658	0.5736259045
129	0.9658119658	0.5679778097
130	0.9700854701	0.5638106653
131	0.9700854701	0.5608958225
132	0.9700854701	0.5562936633
133	0.9786324786	0.553028379
134	0.9829059829	0.5485101494
135	0.9829059829	0.5437061957
136	0.9914529915	0.5378885085
137	0.9914529915	0.5299747134
138	0.9914529915	0.5249401632
139	0.9914529915	0.5225163218
140	0.9914529915	0.5183972796
141	0.9914529915	0.5153558033
142	0.9914529915	0.5135710775
143	0.9914529915	0.509023912
144	0.9914529915	0.5053063053
145	0.9957264957	0.5009869736
146	0.9957264957	0.4981884263
147	0.9914529915	0.4932849659
148	0.9957264957	0.4884766348
149	0.9957264957	0.4824459139
150	0.9914529915	0.4776474026
151	0.9957264957	0.4739788144
152	0.9957264957	0.4721115325
153	0.9957264957	0.4688341411
154	0.9957264957	0.4669473029
155	0.9957264957	0.4631958118
156	0.9957264957	0.4614042209
157	0.9957264957	0.4575073396
158	0.9957264957	0.4543328966
159	0.9957264957	0.4525753904
160	0.9957264957	0.4496797744
161	0.9957264957	0.4468637749
162	0.9957264957	0.4452783576
163	0.9957264957	0.4430499267
164	0.9957264957	0.4411428722
165	0.9957264957	0.4370209141
166	0.9957264957	0.4342458568
167	1	0.4309991355
168	1	0.4295535557
169	1	0.4271612978
170	1	0.425414117
171	1	0.4225912676
172	1	0.4207911161
173	1	0.4196954226
174	1	0.4171209781
175	1	0.4138540107
176	1	0.4118792157
177	1	0.408840475
178	1	0.4075870373
179	1	0.4032042689
180	1	0.4017803061
181	1	0.3973977922
182	1	0.3958364372
183	1	0.3943748249
184	1	0.3899740723
185	1	0.3871407738
186	1	0.385114725
187	1	0.3819192801
188	1	0.3791657189
189	1	0.3741424331
190	1	0.3727196263
191	1	0.3712234299
192	1	0.3677546693
193	1	0.3663329648
194	1	0.3640776425
195	1	0.3609652036
196	1	0.3594203062
197	1	0.358330445
198	1	0.3558958586
199	1	0.3544370565
200	1	0.3532123476
201	1	0.3515785684
202	1	0.3490352447
203	1	0.3465060789
204	1	0.3452375356
205	1	0.3437091398
206	1	0.3399516303
207	1	0.3373891768
208	1	0.3353485859
209	1	0.3345608258
210	1	0.3323498914
211	1	0.3302776053
212	1	0.328215925
213	1	0.3262803722
214	1	0.3248766416
215	1	0.3240530697
216	1	0.3222817897
217	1	0.3213531002
218	1	0.319374127
219	1	0.3185651971
220	1	0.3173385741
221	1	0.3144594142
222	1	0.3136558181
223	1	0.311743779
224	1	0.3089214959
225	1	0.3068792409
226	1	0.3038214023
227	1	0.3029215615
228	1	0.3000054652
229	1	0.2986126791
230	1	0.2961404496
231	1	0.2941111883
232	1	0.2926881705
233	1	0.2916000763
234	1	0.2903190897
235	1	0.2894772336
236	1	0.2873736065
237	1	0.2860429801
238	1	0.2851758033
239	1	0.2842353769
240	1	0.2825061058
241	1	0.2801919067
242	1	0.2786517704
243	1	0.2764975792
244	1	0.2756396635
245	1	0.2739311549
246	1	0.2727773311
247	1	0.2719489851
248	1	0.2710875553
249	1	0.2699182137
250	1	0.2679646261
251	1	0.2671157681
252	1	0.2661958522
253	1	0.2651909796
254	1	0.2644095965
255	1	0.2638532488
256	1	0.2628447176
257	1	0.2615306158
258	1	0.2601447624
259	1	0.2583726814
260	1	0.256909858
261	1	0.2544059988
262	1	0.2523585327
263	1	0.2517058496
264	1	0.2502131957
265	1	0.249057943
266	1	0.2476102992
267	1	0.2468541732
268	1	0.2457098952
269	1	0.2440110761
270	1	0.2426499373
271	1	0.2414325929
272	1	0.2409528059
273	1	0.2396433816
274	1	0.2391281027
275	1	0.2381759307
276	1	0.2374802242
277	1	0.2360108322
278	1	0.2354986296
279	1	0.2348116402
280	1	0.2325497241
281	1	0.2318039012
282	1	0.2305251625
283	1	0.2298600542
284	1	0.2287269794
285	1	0.2277687889
286	1	0.2269525422
287	1	0.225848775
288	1	0.2245060914
289	1	0.2234963195
290	1	0.22227851
291	1	0.221207804
292	1	0.220381232
293	1	0.2198817621
294	1	0.2191863112
295	1	0.2186427357
296	1	0.2174283194
297	1	0.21612604
298	1	0.2154661933
299	1	0.2148627927
